ID,Parameter_ID,Name,Description
GB266-n,GB266,2,n
GB266-y,GB266,3,y
GB307-,GB307,?,
R4309b-y,R4309b,0,y
R4309b-n,R4309b,1,n
GB289-n,GB289,0,n
GB289-,GB289,?,
GB289-y,GB289,1,y
GB108-y,GB108,2,y
GB108-n,GB108,3,n
GB159-n,GB159,2,n
GB159-y,GB159,3,y
GB276-n,GB276,2,n
GB276-,GB276,?,
GB276-y,GB276,3,y
R1115-y,R1115,0,y
R1115-n,R1115,1,n
GB037-n,GB037,2,n
GB037-y,GB037,3,y
GB299-,GB299,?,
GB072-n,GB072,2,n
R3502-n,R3502,0,n
GB265-y,GB265,4,y
GB265-n,GB265,3,n
GB162-n,GB162,0,n
GB083-n,GB083,2,n
GB069-y,GB069,2,y
GB069-n,GB069,3,n
GB249-n,GB249,0,n
GB249-y,GB249,1,y
GB139-y,GB139,2,y
R1116-y,R1116,0,y
R1116-,R1116,?,
R1116-n,R1116,1,n
R1103b-n,R1103b,0,n
GB062-n,GB062,2,n
GB062-y,GB062,3,y
R4307-n,R4307,0,n
R4307-y,R4307,1,y
GB324-,GB324,?,
GB269-n,GB269,0,n
R4305a-y,R4305a,0,y
R4305a-n,R4305a,2,n
GB137-y,GB137,2,y
GB137-n,GB137,3,n
GB318-,GB318,?,
GB322-,GB322,?,
GB205-n,GB205,0,n
GB205-,GB205,?,
GB146-y,GB146,2,y
GB146-n,GB146,3,n
R5209-n,R5209,0,n
GB183-n,GB183,0,n
GB183-,GB183,?,
SD342-n,SD342,0,n
SD342-y,SD342,1,y
GB306-,GB306,?,
GB519-y,GB519,0,y
GB519-,GB519,?,
GB519-n,GB519,1,n
GB515-n,GB515,0,n
R1103a-n,R1103a,0,n
R1103a-y,R1103a,1,y
GB223-,GB223,?,
GB166-n,GB166,2,n
GB231-,GB231,?,
GB040-n,GB040,0,n
GB040-,GB040,?,
GB185-n,GB185,2,n
GB295-y,GB295,0,y
GB295-n,GB295,1,n
GB271-,GB271,?,
GB271-n,GB271,1,n
GB271-y,GB271,3,y
GB290-y,GB290,0,y
GB290-,GB290,?,
